"student_id";"first_name";"last_name";"date_of_birthl"
1;"Rodger";"Piens";"1990-04-14"
2;"Delilah";"Rowlinson";"1992-11-24"
3;"Cyndy";"Judkins";"1984-04-04"
4;"Boony";"Devenish";"1995-04-01"
5;"Bernardina";"Kinloch";"1991-07-15"
6;"Ario";"Stanaway";"1981-08-21"
7;"Vivian";"Gilluley";"1989-03-01"
8;"Reilly";"Brumen";"1998-12-18"
9;"Byrom";"Sommerland";"1999-05-13"
10;"Lindsay";"Perot";"2000-02-03"
11;"Chancey";"Popham";"1989-10-10"
12;"Hermia";"Hefforde";"1989-01-17"
13;"Eula";"Syratt";"1989-11-27"
14;"Almire";"Krauze";"1989-01-07"
15;"Goldina";"Schwieso";"1981-03-09"
16;"Dorise";"Twells";"1988-08-30"
17;"Elva";"Cuncliffe";"1987-09-20"
18;"Evvy";"McPheat";"1993-11-22"
19;"Fair";"Stracey";"1983-12-02"
20;"Kettie";"Verrell";"1988-02-21"
21;"Curtis";"Calfe";"1998-03-07"
22;"Gustav";"Woolfitt";"1988-09-27"
23;"Bailey";"Fahrenbacher";"1988-10-18"
24;"Emelita";"Juanes";"1981-11-13"
25;"Blane";"Marchenko";"1984-05-04"
26;"Jorey";"Downse";"1985-09-01"
27;"Axel";"Anniwell";"1982-12-11"
28;"Shirline";"Vint";"1992-02-01"
29;"Emanuele";"Kid";"1990-08-21"
30;"Thor";"Gorden";"1992-12-29"
